sku,description,demand_pattern,model_used,date,forecast,forecast_lower,forecast_upper,mape_backtest,wmape_backtest,bias_pct,holiday_adjusted
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2026-09-01,41.56284406956029,36.6538879466743,46.91031254926133,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2026-10-01,48.42511058276777,43.01974861749828,54.152766325977595,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2026-11-01,43.60716110976768,38.164796365917816,48.85415946084178,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2026-12-01,51.93136550924866,46.5663187908337,57.366652712513954,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2027-01-01,49.02077827365384,43.789164288778586,54.43189903862209,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2027-02-01,41.46187033745383,35.929591437130696,46.74772843428832,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV25SAC,ANLENE GOLD VANILLA 120x25 GR,SMOOTH,Prophet,2027-03-01,39.77741589594024,34.74608903302472,45.26047279647605,14.79639832111891,15.49793539271046,-15.3903832194865,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2026-04-01,5.204765856408724,0.0,11.301564548346207,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2026-05-01,5.076767923206256,0.0,11.405671851899085,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2026-06-01,5.011921055128547,0.0,10.83308743461515,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2026-07-01,4.968832183866795,0.0,11.835871274053448,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2026-08-01,4.598701412526035,0.0,10.55157151172044,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2026-09-01,4.592477364366666,0.0,11.038396251368347,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2026-10-01,4.253259004528905,0.0,10.224698336072267,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2026-11-01,4.179498638165926,0.0,10.005881218199637,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2026-12-01,4.16286985419779,0.0,10.650362197166338,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2027-01-01,3.8908805056593994,0.0,10.590302314054725,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2027-02-01,3.6561420386652683,0.0,10.269572802691691,17.307150785542483,14.014537141008157,7.675337618054215,False
AGV175,ANLENE GOLD VANILLA 24x170 GR,SMOOTH,Prophet,2027-03-01,3.544471219561328,0.0,9.887726128677691,17.307150785542483,14.014537141008157,7.675337618054215,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-04-01,8.638252246294348,0.6094496406543966,16.179684014314024,17.49290907491126,19.804270970656944,-15.407770704814386,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-05-01,20.765332048681813,13.164740096641792,28.032124729025178,17.49290907491126,19.804270970656944,-15.407770704814386,False
AGC250,ANLENE GOLD CHOCOLATE 24X240 GR,SMOOTH,Prophet,2026-06-01,25.0216035366062,17.587291937565684,33.10541971467891,17.49290907491126,19.804270970656944,-15.407770704814386,False
